date,clicks,impressions,ctr,position
2021-07-04,136,6301,2.16,31.97
2021-07-05,264,8697,3.04,27.66
2021-07-06,299,9236,3.24,26.38
2021-07-07,276,10008,2.76,26.77
2021-07-08,283,9725,2.91,25.83
2021-07-09,205,8273,2.48,27.65
2021-07-10,106,7186,1.48,33.74
2021-07-11,164,7431,2.21,31.75
2021-07-12,316,11101,2.85,26.94
2021-07-13,314,11494,2.73,26.9
2021-07-14,349,11432,3.05,26.95
2021-07-15,292,11695,2.5,27.38
2021-07-16,243,10859,2.24,29.73
2021-07-17,155,7741,2.0,33.05
2021-07-18,171,8957,1.91,31.24
2021-07-19,306,12924,2.37,27.11
2021-07-20,342,13024,2.63,25.89
2021-07-21,346,14121,2.45,26.44
2021-07-22,424,15988,2.65,26.65
2021-07-23,357,14590,2.45,26.92
2021-07-24,256,11987,2.14,30.34
2021-07-25,257,12227,2.1,29.55
2021-07-26,471,15934,2.96,24.28
2021-07-27,462,15516,2.98,24.55
2021-07-28,418,15590,2.68,24.9
2021-07-29,477,16842,2.83,23.83
2021-07-30,340,13867,2.45,26.18
2021-07-31,194,9749,1.99,31.42
